keyword,keyword_uri,wikidata_qid,wikidata_uri,wikidata_label,wikidata_description,match_type,search_lang
Datenraum,http://example.org/digitalhaushalt/keyword/datenraum,Q1172494,http://www.wikidata.org/entity/Q1172494,Datenraum,Geschützer Bereich zur Bereitstellung elektronischer Dokumente,exact,de
Gesundheitsdatenbank,http://example.org/digitalhaushalt/keyword/gesundheitsdatenbank,,,,,none,
Sensornetzwerke,http://example.org/digitalhaushalt/keyword/sensornetzwerke,,,,,none,
Echtzeitdaten,http://example.org/digitalhaushalt/keyword/echtzeitdaten,Q7300787,http://www.wikidata.org/entity/Q7300787,Echtzeitdaten,information delivered immediately after collection,exact,de
Dashboard,http://example.org/digitalhaushalt/keyword/dashboard,Q5226597,http://www.wikidata.org/entity/Q5226597,Dashboard,Single von Modest Mouse,exact,de
KI-gestützt,http://example.org/digitalhaushalt/keyword/ki-gestuetzt,Q121889130,http://www.wikidata.org/entity/Q121889130,KI-gestützte Bildskalierungstechnologie,Technologie zur Hoch- oder Herunterskalierung von Bildern mit Hilfe künstlicher Intelligenz,fuzzy,de
Digitalisierung landbasierte Operationen,http://example.org/digitalhaushalt/keyword/digitalisierung-landbasierte-operationen,,,,,none,
Digitalisierung Kommunaler,http://example.org/digitalhaushalt/keyword/digitalisierung-kommunaler,,,,,none,
Funkwerkstatt,http://example.org/digitalhaushalt/keyword/funkwerkstatt,,,,,none,
IP-Telefonie,http://example.org/digitalhaushalt/keyword/ip-telefonie,Q81945,http://www.wikidata.org/entity/Q81945,IP-Telefonie,Technologie zur Übertragung von Sprache und anderen Daten über IP-Netzwerke,exact,de
ITZBund,http://example.org/digitalhaushalt/keyword/itzbund,Q23786362,http://www.wikidata.org/entity/Q23786362,Informationstechnikzentrum Bund,deutscher zentraler IT-Dienstleister des Bundes,exact,de
Digitale Strategie,http://example.org/digitalhaushalt/keyword/digitale-strategie,Q5276170,http://www.wikidata.org/entity/Q5276170,digital strategy,plan that uses technology and digital resources to achieve strategic business objectives,exact,de
Digitale Rentenübersicht,http://example.org/digitalhaushalt/keyword/digitale-rentenuebersicht,Q124429893,http://www.wikidata.org/entity/Q124429893,Digitale Rentenübersicht,,exact,de
Telekommunikationsgesetz,http://example.org/digitalhaushalt/keyword/telekommunikationsgesetz,Q11826893,http://www.wikidata.org/entity/Q11826893,Telekommunikationsrecht,umfasst auch die sendetechnischen Regelungen von Hörfunk und Fernsehen,exact,de
Netztechnologie,http://example.org/digitalhaushalt/keyword/netztechnologie,,,,,none,
