keyword,keyword_uri,wikidata_qid,wikidata_uri,wikidata_label,wikidata_description,match_type,search_lang
Zustandsdaten,http://example.org/digitalhaushalt/keyword/zustandsdaten,,,,,none,
Zukunftsvertrag Studium und Lehre,http://example.org/digitalhaushalt/keyword/zukunftsvertrag-studium-und-lehre,,,,,none,
HSP,http://example.org/digitalhaushalt/keyword/hsp,Q657516,http://www.wikidata.org/entity/Q657516,Troyer-Syndrom,genetically and clinically heterogeneous group of neurodegenerative disorders characterized by progressive spasticity and hyperreflexia of the lower limbs,exact,de
Hochschulpakt,http://example.org/digitalhaushalt/keyword/hochschulpakt,Q15446605,http://www.wikidata.org/entity/Q15446605,Hochschulpakt,,exact,de
Zukunftsstrategie,http://example.org/digitalhaushalt/keyword/zukunftsstrategie,,,,,none,
Zukunftsstadt,http://example.org/digitalhaushalt/keyword/zukunftsstadt,,,,,none,
Reallabor,http://example.org/digitalhaushalt/keyword/reallabor,Q3027857,http://www.wikidata.org/entity/Q3027857,Reallabor,Art von Ökosystem,exact,de
Zukunftsfonds,http://example.org/digitalhaushalt/keyword/zukunftsfonds,Q228721,http://www.wikidata.org/entity/Q228721,Zukunftsfonds der Republik Österreich,,fuzzy,de
Vernetzung,http://example.org/digitalhaushalt/keyword/vernetzung,Q253405,http://www.wikidata.org/entity/Q253405,Vernetzung,"verschiedene Eigenschaften, die in gewissem Sinne ""alles aus einem Stück"" bedeuten",exact,de
Datenorientiert,http://example.org/digitalhaushalt/keyword/datenorientiert,Q24882785,http://www.wikidata.org/entity/Q24882785,Datenorientiertes Design,Program optimization approach in computing,fuzzy,de
Industrie 4.0,http://example.org/digitalhaushalt/keyword/industrie-4-0,Q1661989,http://www.wikidata.org/entity/Q1661989,Industrie 4.0,umfassende Digitalisierung der industriellen Prozesse,exact,de
Digitalisiert,http://example.org/digitalhaushalt/keyword/digitalisiert,Q60474998,http://www.wikidata.org/entity/Q60474998,digitalisierte Sammlung,Sammlung digitalisierter Objekte,fuzzy,de
Schlüsseltechnologie,http://example.org/digitalhaushalt/keyword/schluesseltechnologie,Q21074109,http://www.wikidata.org/entity/Q21074109,Schlüsseltechnologie,Art von Technologie,exact,de
Technologische Souveränität,http://example.org/digitalhaushalt/keyword/technologische-souveraenitaet,Q17630369,http://www.wikidata.org/entity/Q17630369,Technologiesouveränität,Kompetenz,exact,de
Systemintegration,http://example.org/digitalhaushalt/keyword/systemintegration,Q1665453,http://www.wikidata.org/entity/Q1665453,Systemintegration,process of bringing together the component sub-systems into a single one and ensuring that the subsystems function together as a system,exact,de
Sprunginnovation,http://example.org/digitalhaushalt/keyword/sprunginnovation,,,,,none,
SPRIND,http://example.org/digitalhaushalt/keyword/sprind,Q72975645,http://www.wikidata.org/entity/Q72975645,Bundesagentur für Sprunginnovationen,Bundesagentur zur Förderung von disruptiven Technologien,exact,de
Disruptiv,http://example.org/digitalhaushalt/keyword/disruptiv,Q596474,http://www.wikidata.org/entity/Q596474,Störung des Sozialverhaltens,Krankheit,fuzzy,de
Softwareentwicklung,http://example.org/digitalhaushalt/keyword/softwareentwicklung,Q80993,http://www.wikidata.org/entity/Q80993,Softwaretechnik,"Art und Weise, wie Software entwickelt wird",exact,de
Künstliche Intelligenz,http://example.org/digitalhaushalt/keyword/kuenstliche-intelligenz,Q11660,http://www.wikidata.org/entity/Q11660,künstliche Intelligenz,"Teilgebiet der Informatik, das sich mit maschinellen Intelligenzleistungen befasst",exact,de
Eingebettete Systeme,http://example.org/digitalhaushalt/keyword/eingebettete-systeme,Q116094253,http://www.wikidata.org/entity/Q116094253,Eingebettete Systeme zur Implemetierung Neuronaler Netze am Beispiel Regelung von Verbrennungsmotoren,GEPRIS Projekt,fuzzy,de
Internet der Dinge,http://example.org/digitalhaushalt/keyword/internet-der-dinge,Q251212,http://www.wikidata.org/entity/Q251212,Internet der Dinge,Verknüpfung eindeutig identifizierbarer physischer Objekte mit einer virtuellen Repräsentation in einer Internet-ähnlichen Struktur,exact,de
Maschinelles Lernen,http://example.org/digitalhaushalt/keyword/maschinelles-lernen,Q2539,http://www.wikidata.org/entity/Q2539,maschinelles Lernen,"wissenschaftliche Untersuchung von Algorithmen und statistischen Modellen, die Computersysteme verwenden, um aus Daten die Ausführung von Aufgaben zu lernen, für die sie nicht explizit programmiert werden",exact,de
Big Data,http://example.org/digitalhaushalt/keyword/big-data,Q858810,http://www.wikidata.org/entity/Q858810,Big Data,Verarbeitung sehr großer Datenmengen,exact,de
Informatik,http://example.org/digitalhaushalt/keyword/informatik,Q21198,http://www.wikidata.org/entity/Q21198,Informatik,Wissenschaft von der systematischen Verarbeitung von Informationen,exact,de
Informationstechnologie,http://example.org/digitalhaushalt/keyword/informationstechnologie,Q11661,http://www.wikidata.org/entity/Q11661,Informationstechnik,Oberbegriff für die Informations- und Datenverarbeitung sowie die dafür benötigte Hard- und Software,fuzzy,de
Mit KI-Methoden,http://example.org/digitalhaushalt/keyword/mit-ki-methoden,,,,,none,
KI-Strategie,http://example.org/digitalhaushalt/keyword/ki-strategie,,,,,none,
Quantentechnologie,http://example.org/digitalhaushalt/keyword/quantentechnologie,Q2081419,http://www.wikidata.org/entity/Q2081419,Quantentechnologie,ingenieurwissenschaftliche Nutzbarmachung von Quanteneigenschaften,exact,de
Photonik,http://example.org/digitalhaushalt/keyword/photonik,Q467054,http://www.wikidata.org/entity/Q467054,Photonik,Teilgebiet der Physik,exact,de
Sensoren,http://example.org/digitalhaushalt/keyword/sensoren,Q167676,http://www.wikidata.org/entity/Q167676,Sensor,"technisches Bauteil, das bestimmte physikalische oder chemische Eigenschaften und/oder die stoffliche Beschaffenheit seiner Umgebung qualitativ oder als Messgröße quantitativ erfassen kann",exact,de
Quantencomputing,http://example.org/digitalhaushalt/keyword/quantencomputing,Q130104027,http://www.wikidata.org/entity/Q130104027,Quantencomputing startet in Stuttgart durch,wissenschaftlicher Artikel,fuzzy,de
Digitalisierung,http://example.org/digitalhaushalt/keyword/digitalisierung,Q843958,http://www.wikidata.org/entity/Q843958,Digitalisieren,Prozess der Umwandlung von analogen in digitale Formate,exact,de
Hard- und Software,http://example.org/digitalhaushalt/keyword/hard-und-software,,,,,none,
Programmierung,http://example.org/digitalhaushalt/keyword/programmierung,Q80006,http://www.wikidata.org/entity/Q80006,Programmierung,Tätigkeit der Erstellung von Computerprogrammen,exact,de
Plattform,http://example.org/digitalhaushalt/keyword/plattform,Q241317,http://www.wikidata.org/entity/Q241317,Plattform,Basis für Anwendungsprogramme,exact,de
Modellierung,http://example.org/digitalhaushalt/keyword/modellierung,Q1116876,http://www.wikidata.org/entity/Q1116876,Modellierung,Art von Repräsentation,exact,de
Umweltdaten,http://example.org/digitalhaushalt/keyword/umweltdaten,Q5381206,http://www.wikidata.org/entity/Q5381206,Umweltdaten,Daten zu Aspekten der Umwelt,exact,de
Fernerkundung,http://example.org/digitalhaushalt/keyword/fernerkundung,Q199687,http://www.wikidata.org/entity/Q199687,Fernerkundung,Verfahren zur Gewinnung von Informationen über nicht direkt zugängliche Objekte,exact,de
MINT,http://example.org/digitalhaushalt/keyword/mint,Q47859,http://www.wikidata.org/entity/Q47859,Minzen,Pflanzengattung der Familie Lippenblütler (Lamiaceae),exact,de
Datenerhebung,http://example.org/digitalhaushalt/keyword/datenerhebung,Q4929239,http://www.wikidata.org/entity/Q4929239,Datenerhebung,Erheben und Auswerten von Daten,exact,de
Digitalen Wandel,http://example.org/digitalhaushalt/keyword/digitalen-wandel,,,,,none,
Forschungsdaten,http://example.org/digitalhaushalt/keyword/forschungsdaten,Q15809982,http://www.wikidata.org/entity/Q15809982,Forschungsdaten,"Daten, die im Zuge wissenschaftlicher Vorhaben z.B. durch Digitalisierung, Quellenforschungen, Experimente, Messungen, Erhebungen oder Befragungen entstehen",exact,de
Weizenbaum-Institut,http://example.org/digitalhaushalt/keyword/weizenbaum-institut,Q31839610,http://www.wikidata.org/entity/Q31839610,Weizenbaum-Institut,interdisziplinäres Forschungsinstitut zur Erforschung des Wandels der Gesellschaft durch die Digitalisierung,exact,de
Internet,http://example.org/digitalhaushalt/keyword/internet,Q75,http://www.wikidata.org/entity/Q75,Internet,"weltweites Netzwerk, bestehend aus Rechnernetzwerken, durch das Daten ausgetauscht werden",exact,de
Datenstrategie,http://example.org/digitalhaushalt/keyword/datenstrategie,Q121661896,http://www.wikidata.org/entity/Q121661896,Datenstrategie der Bundesregierung (2021),strategy of the German federal government,fuzzy,de
Datenpolitik,http://example.org/digitalhaushalt/keyword/datenpolitik,Q48997150,http://www.wikidata.org/entity/Q48997150,Datenpolitik,"Politik, die verschiedene Aspekte von Daten umfasst",exact,de
Open Access,http://example.org/digitalhaushalt/keyword/open-access,Q232932,http://www.wikidata.org/entity/Q232932,Open Access,freier Zugang zu wissenschaftlicher Literatur und anderen Materialien im Internet,exact,de
Forschungsdatengesetz,http://example.org/digitalhaushalt/keyword/forschungsdatengesetz,,,,,none,
Mikroelektronik,http://example.org/digitalhaushalt/keyword/mikroelektronik,Q175403,http://www.wikidata.org/entity/Q175403,Mikroelektronik,Art von Elektronik,exact,de
Supercomputing,http://example.org/digitalhaushalt/keyword/supercomputing,Q4392761,http://www.wikidata.org/entity/Q4392761,ACM/IEEE Supercomputing Conference,jährlich stattfindende Konferenz,exact,de
Höchstleistungsrechn,http://example.org/digitalhaushalt/keyword/hoechstleistungsrechn,Q1643269,http://www.wikidata.org/entity/Q1643269,Höchstleistungsrechner Bayern II,ehemaliger Supercomputer,fuzzy,de
Chip,http://example.org/digitalhaushalt/keyword/chip,Q16163596,http://www.wikidata.org/entity/Q16163596,Chip,Vorname,exact,de
High-Performance Computing,http://example.org/digitalhaushalt/keyword/high-performance-computing,Q1190465,http://www.wikidata.org/entity/Q1190465,Hochleistungsrechnen,"umfasst alle Rechenarbeiten, deren Bearbeitung einer hohen Rechenleistung oder Speicherkapazität bedarf",fuzzy,de
EUROHPC,http://example.org/digitalhaushalt/keyword/eurohpc,Q60983149,http://www.wikidata.org/entity/Q60983149,European High-Performance Computing Joint Undertaking,Gemeinsames Unternehmen der Europäischen Union,exact,de
Kommunikationssystem,http://example.org/digitalhaushalt/keyword/kommunikationssystem,Q577764,http://www.wikidata.org/entity/Q577764,Kommunikationssystem,Infrastruktur für den Austausch von Informationen,exact,de
IT-Sicherheit,http://example.org/digitalhaushalt/keyword/it-sicherheit,Q3510521,http://www.wikidata.org/entity/Q3510521,Computersicherheit,"Schutz von Computersystemen und -netzwerken vor Diebstahl, Schäden oder Missbrauch",exact,de
Cybersicherheit,http://example.org/digitalhaushalt/keyword/cybersicherheit,Q3510521,http://www.wikidata.org/entity/Q3510521,Computersicherheit,"Schutz von Computersystemen und -netzwerken vor Diebstahl, Schäden oder Missbrauch",exact,de
Datenschutz,http://example.org/digitalhaushalt/keyword/datenschutz,Q456632,http://www.wikidata.org/entity/Q456632,Datenschutz,Rechtsbegriff; alle Maßnahmen zur angemessenen Nutzung von personenbezogenen Daten,exact,de
Datenverarbeitung,http://example.org/digitalhaushalt/keyword/datenverarbeitung,Q6661985,http://www.wikidata.org/entity/Q6661985,Datenverarbeitung,"Umgang mit Datenmengen mit dem Ziel, Informationen über diese Datenmengen zu gewinnen",exact,de
Drahtlos,http://example.org/digitalhaushalt/keyword/drahtlos,Q1061197,http://www.wikidata.org/entity/Q1061197,Radio-Network,"Senderkette, die mit einem Leitsender zahlreiche lokale Hörfunksender mit einem Mantelprogramm beliefert",fuzzy,de
Quantenkommunikation,http://example.org/digitalhaushalt/keyword/quantenkommunikation,Q2122216,http://www.wikidata.org/entity/Q2122216,Quanteninformatik,"Wissenschaft von einer Informationsverarbeitung, die quantenmechanische Phänomene nutzt",exact,de
Quantensicher,http://example.org/digitalhaushalt/keyword/quantensicher,,,,,none,
Konnektivität,http://example.org/digitalhaushalt/keyword/konnektivitaet,Q72898059,http://www.wikidata.org/entity/Q72898059,Knotenzusammenhangszahl,"das größte k, sodass ein gegebener Graph k-zusammenhängend ist",exact,de
Cyber,http://example.org/digitalhaushalt/keyword/cyber,Q15746553,http://www.wikidata.org/entity/Q15746553,"Cyberpsychology, Behavior and Social Networking",wissenschaftliche Fachzeitschrift,fuzzy,de
Datengetrieben,http://example.org/digitalhaushalt/keyword/datengetrieben,Q102047184,http://www.wikidata.org/entity/Q102047184,datengetriebene Modellierung,mathematical modeling based on experimental measurement data,fuzzy,de
KI-Kompetenzzentren,http://example.org/digitalhaushalt/keyword/ki-kompetenzzentren,,,,,none,
Helmholtz,http://example.org/digitalhaushalt/keyword/helmholtz,Q60024,http://www.wikidata.org/entity/Q60024,Hermann von Helmholtz,deutscher Physiologe und Physiker (1821-1894),exact,de
BIFOLD,http://example.org/digitalhaushalt/keyword/bifold,Q108366971,http://www.wikidata.org/entity/Q108366971,Berlin Institute for the Foundations of Learning and Data,"Forschungsinstitut in Berlin, Deutschland",exact,de
Berlin Institute for the Foundations of Learning and Data,http://example.org/digitalhaushalt/keyword/berlin-institute-for-the-foundations-of-learning-and-data,Q108366971,http://www.wikidata.org/entity/Q108366971,Berlin Institute for the Foundations of Learning and Data,"Forschungsinstitut in Berlin, Deutschland",exact,de
MCML,http://example.org/digitalhaushalt/keyword/mcml,Q18597,http://www.wikidata.org/entity/Q18597,1950,Jahr,exact,de
Munich Center for Machine Learning,http://example.org/digitalhaushalt/keyword/munich-center-for-machine-learning,Q117044341,http://www.wikidata.org/entity/Q117044341,Munich Center for Machine Learning,Forschungszentrum für Machine Learning in München,exact,de
Lamarr,http://example.org/digitalhaushalt/keyword/lamarr,Q93306323,http://www.wikidata.org/entity/Q93306323,LaMarr,Familienname,exact,de
Institut für Maschinelles Lernen und Künstliche Intelligenz,http://example.org/digitalhaushalt/keyword/institut-fuer-maschinelles-lernen-und-kuenstliche-intelligenz,,,,,none,
Scalable,http://example.org/digitalhaushalt/keyword/scalable,Q2078,http://www.wikidata.org/entity/Q2078,Scalable Vector Graphics,Spezifikation zur Beschreibung zweidimensionaler Vektorgrafiken,fuzzy,de
Data Analytics,http://example.org/digitalhaushalt/keyword/data-analytics,Q485396,http://www.wikidata.org/entity/Q485396,Analytik,"die Wissenschaft, die sich mit der Durchführung einer systematischen Untersuchung eines Sachverhaltes oder eines Gegenstandes befasst, indem dieser Gegenstand „aufgelöst“, also in alle seine ihn bestimmenden Faktoren oder Komponenten getrennt wird.",exact,de
AI Center,http://example.org/digitalhaushalt/keyword/ai-center,Q132128901,http://www.wikidata.org/entity/Q132128901,AICOE Institute,Global AI research hub,fuzzy,de
Center for Scalable Data Analytics and Artificial Intelligence,http://example.org/digitalhaushalt/keyword/center-for-scalable-data-analytics-and-artificial-intelligence,Q129571902,http://www.wikidata.org/entity/Q129571902,Zentrum für skalierbare Datenanalyse und Künstliche Intelligenz,"research institute in Dresden and Leipzig, Germany",exact,de
IT-Infrastruktur,http://example.org/digitalhaushalt/keyword/it-infrastruktur,Q594593,http://www.wikidata.org/entity/Q594593,IT-Infrastruktur,"materielle und immaterielle Güter, die den Betrieb von Anwendungssoftware ermöglichen",exact,de
KI-Servicezentren,http://example.org/digitalhaushalt/keyword/ki-servicezentren,,,,,none,
KI-Forschung,http://example.org/digitalhaushalt/keyword/ki-forschung,,,,,none,
Interaktive Technologie,http://example.org/digitalhaushalt/keyword/interaktive-technologie,Q17981328,http://www.wikidata.org/entity/Q17981328,Interaktive Technologie ermöglicht Europäern eine Veränderung der Umwelt,Artikel bei Wikinews,fuzzy,de
Digitale Souveränität,http://example.org/digitalhaushalt/keyword/digitale-souveraenitaet,Q3492424,http://www.wikidata.org/entity/Q3492424,Digitale Souveränität,"Möglichkeiten zur selbstbestimmten Nutzung und Gestaltung von Informationstechnik durch Gesellschaften, Staaten, Unternehmen und Individuen",exact,de
Digital-Health,http://example.org/digitalhaushalt/keyword/digital-health,Q50815224,http://www.wikidata.org/entity/Q50815224,Digital Health,"Academic journal published by SAGE Publishing, covering the subjects: Medicine: Medicine (General): Computer applications to medicine. Medical informatics",fuzzy,de
Robotik,http://example.org/digitalhaushalt/keyword/robotik,Q170978,http://www.wikidata.org/entity/Q170978,Robotik,"Sammelbegriff für das Design, Konstruktion und den Betrieb von Robotern",exact,de
digitale Vernetzungsangebote,http://example.org/digitalhaushalt/keyword/digitale-vernetzungsangebote,,,,,none,
Digitale Gesundheit,http://example.org/digitalhaushalt/keyword/digitale-gesundheit,Q5276090,http://www.wikidata.org/entity/Q5276090,Digitale Gesundheitsversorgung,Anwendung digitaler Technologien zur Gesundheitsversorgung,fuzzy,de
Start-up,http://example.org/digitalhaushalt/keyword/start-up,Q129238,http://www.wikidata.org/entity/Q129238,Jungunternehmen,junges Unternehmen mit (meist) innovativer Geschäftsidee,exact,de
Robot,http://example.org/digitalhaushalt/keyword/robot,Q105701614,http://www.wikidata.org/entity/Q105701614,Robot,Familienname,exact,de
Miteinander durch Innovation,http://example.org/digitalhaushalt/keyword/miteinander-durch-innovation,,,,,none,
Software Engineering,http://example.org/digitalhaushalt/keyword/software-engineering,Q80993,http://www.wikidata.org/entity/Q80993,Softwaretechnik,"Art und Weise, wie Software entwickelt wird",exact,de
IT-Forschung,http://example.org/digitalhaushalt/keyword/it-forschung,,,,,none,
IT-Aspekte,http://example.org/digitalhaushalt/keyword/it-aspekte,,,,,none,
Informationstechnische Systeme,http://example.org/digitalhaushalt/keyword/informationstechnische-systeme,,,,,none,
KI-Kompetenz,http://example.org/digitalhaushalt/keyword/ki-kompetenz,Q126278541,http://www.wikidata.org/entity/Q126278541,KI-Kompetenz,"The ability to understand, use, monitor, and critically reflect on AI applications",exact,de
Hardware,http://example.org/digitalhaushalt/keyword/hardware,Q3966,http://www.wikidata.org/entity/Q3966,Hardware,mechanische und elektronische Ausrüstung eines Systems,exact,de
Hochleistungs,http://example.org/digitalhaushalt/keyword/hochleistungs,Q381233,http://www.wikidata.org/entity/Q381233,Hochleistungsflüssigkeitschromatographie,Trennverfahren für die Produktion und Analysemethode,fuzzy,de
Exascale,http://example.org/digitalhaushalt/keyword/exascale,Q2450880,http://www.wikidata.org/entity/Q2450880,exascale computing,computer systems capable of one exaFLOPS,fuzzy,de
Digital,http://example.org/digitalhaushalt/keyword/digital,Q690079,http://www.wikidata.org/entity/Q690079,Digital Equipment Corporation,US-amerikanisches Unternehmen,fuzzy,de
Informationssicherheit,http://example.org/digitalhaushalt/keyword/informationssicherheit,Q189900,http://www.wikidata.org/entity/Q189900,Informationssicherheit,technischer Begriff komplementär zum Datenschutz,exact,de
Galileo,http://example.org/digitalhaushalt/keyword/galileo,Q3757616,http://www.wikidata.org/entity/Q3757616,Galileo,männlicher Vorname,exact,de
Software,http://example.org/digitalhaushalt/keyword/software,Q7397,http://www.wikidata.org/entity/Q7397,Software,Sammelbegriff für ausführbare Programme und die zugehörigen Daten,exact,de
Deutsche Zentrum für Luft- und Raumfahrt,http://example.org/digitalhaushalt/keyword/deutsche-zentrum-fuer-luft-und-raumfahrt,,,,,none,
Satellitennavigationssystem,http://example.org/digitalhaushalt/keyword/satellitennavigationssystem,Q179435,http://www.wikidata.org/entity/Q179435,Globales Navigationssatellitensystem,System zur Positionsbestimmung durch den Empfang der Signale von Navigationssatelliten und Pseudoliten,exact,de
Raumfahrtprogramm für Innovation und internationale Kooperation,http://example.org/digitalhaushalt/keyword/raumfahrtprogramm-fuer-innovation-und-internationale-kooperation,,,,,none,
Individualisierte Medizin,http://example.org/digitalhaushalt/keyword/individualisierte-medizin,Q1152227,http://www.wikidata.org/entity/Q1152227,Pharmakogenomik,study of the role of the genome in drug response,exact,de
Network,http://example.org/digitalhaushalt/keyword/network,Q27720980,http://www.wikidata.org/entity/Q27720980,Network,wissenschaftliche Fachzeitschrift,exact,de
IGD,http://example.org/digitalhaushalt/keyword/igd,Q110933659,http://www.wikidata.org/entity/Q110933659,Institute of geography and sustainability,"ethics, geography, environment, sustainability",exact,de
Fraunhofer,http://example.org/digitalhaushalt/keyword/fraunhofer,Q1452078,http://www.wikidata.org/entity/Q1452078,Fraunhofer,Mondkrater,exact,de
FhG,http://example.org/digitalhaushalt/keyword/fhg,Q161057,http://www.wikidata.org/entity/Q161057,Fraunhofer-Gesellschaft,Organisation für angewandte Forschungs- und Entwicklungsdienstleistungen,exact,de
IISB,http://example.org/digitalhaushalt/keyword/iisb,Q19267706,http://www.wikidata.org/entity/Q19267706,Iisbaenstrjitte,Straße in Boarnsterhim in den Niederlanden,fuzzy,de
IKS,http://example.org/digitalhaushalt/keyword/iks,Q15729109,http://www.wikidata.org/entity/Q15729109,Internacia Kultura Servo,Esperanto-Organisation,exact,de
IPMS,http://example.org/digitalhaushalt/keyword/ipms,Q1391898,http://www.wikidata.org/entity/Q1391898,Fraunhofer-Institut für Photonische Mikrosysteme,Forschungsinstitut in Dresden,exact,de
IWM,http://example.org/digitalhaushalt/keyword/iwm,Q1452044,http://www.wikidata.org/entity/Q1452044,Fraunhofer-Institut für Werkstoffmechanik,Fraunhofer-Institut,exact,de
Intelligent Computing,http://example.org/digitalhaushalt/keyword/intelligent-computing,Q123958958,http://www.wikidata.org/entity/Q123958958,Intelligent Computing,academic journal,exact,de
EMFT,http://example.org/digitalhaushalt/keyword/emft,Q1451973,http://www.wikidata.org/entity/Q1451973,Fraunhofer-Institut für Elektronische Mikrosysteme und Festkörper-Technologien,"Einrichtung der Fraunhofer-Gesellschaft mit Sitz in München, betreibt Forschung und Entwicklung an Sensoren und Aktoren für Mensch und Umwelt",exact,de
Aktoren,http://example.org/digitalhaushalt/keyword/aktoren,Q10404148,http://www.wikidata.org/entity/Q10404148,Aktören,Film von Ragnar Frisk (1943),exact,de
FIT,http://example.org/digitalhaushalt/keyword/fit,Q6279182,http://www.wikidata.org/entity/Q6279182,Epileptischer Anfall,Krankheit,exact,de
IESE,http://example.org/digitalhaushalt/keyword/iese,Q606807,http://www.wikidata.org/entity/Q606807,Yerseke,"Dorf in Zeeland, Niederlande",exact,de
ISST,http://example.org/digitalhaushalt/keyword/isst,Q1452032,http://www.wikidata.org/entity/Q1452032,Fraunhofer-Institut für Software- und Systemtechnik ISST,deutsches Forschungsinstitut,exact,de
IAIS,http://example.org/digitalhaushalt/keyword/iais,Q10533272,http://www.wikidata.org/entity/Q10533272,Iais,genus of isopods,exact,de
SCAI,http://example.org/digitalhaushalt/keyword/scai,Q18054746,http://www.wikidata.org/entity/Q18054746,SCAI,Gen der Spezies Homo sapiens,exact,de
IZM,http://example.org/digitalhaushalt/keyword/izm,Q16183347,http://www.wikidata.org/entity/Q16183347,IZM,koreanisches Onlinemagazin für Musik,exact,de
HGF,http://example.org/digitalhaushalt/keyword/hgf,Q14906204,http://www.wikidata.org/entity/Q14906204,HGF,Gen der Spezies Homo sapiens,exact,de
Digitalisierungsstrategie,http://example.org/digitalhaushalt/keyword/digitalisierungsstrategie,,,,,none,
Helmholtz Data Federation,http://example.org/digitalhaushalt/keyword/helmholtz-data-federation,,,,,none,
FZJ,http://example.org/digitalhaushalt/keyword/fzj,Q697111,http://www.wikidata.org/entity/Q697111,Forschungszentrum Jülich,Großforschungseinrichtung in Nordrhein-Westfalen,exact,de
Telekommunikationsanlage,http://example.org/digitalhaushalt/keyword/telekommunikationsanlage,Q2401720,http://www.wikidata.org/entity/Q2401720,Telekommunikationsanlage,"Anlage, die Nachrichten in Form elektromagnetischer oder optischer Signale senden, übertragen, vermitteln, empfangen, steuern oder kontrollieren kann",exact,de
HPC,http://example.org/digitalhaushalt/keyword/hpc,Q1190465,http://www.wikidata.org/entity/Q1190465,Hochleistungsrechnen,"umfasst alle Rechenarbeiten, deren Bearbeitung einer hohen Rechenleistung oder Speicherkapazität bedarf",exact,de
Rechenzentrum,http://example.org/digitalhaushalt/keyword/rechenzentrum,Q671224,http://www.wikidata.org/entity/Q671224,Rechenzentrum,"Gebäude oder Räumlichkeiten, in denen die zentrale Rechentechnik untergebracht ist",exact,de
JUNIQ,http://example.org/digitalhaushalt/keyword/juniq,Q139597465,http://www.wikidata.org/entity/Q139597465,Junique,,fuzzy,de
HDF,http://example.org/digitalhaushalt/keyword/hdf,Q1069215,http://www.wikidata.org/entity/Q1069215,Hierarchical Data Format,Dateiformat-Familie,exact,de
Cloud,http://example.org/digitalhaushalt/keyword/cloud,Q5135629,http://www.wikidata.org/entity/Q5135629,Cloud,Familienname,exact,de
IT-Projekt,http://example.org/digitalhaushalt/keyword/it-projekt,Q105822973,http://www.wikidata.org/entity/Q105822973,IT-Projekt,Projekt zur Einführung oder Entwicklung informationstechnischer Systeme,exact,de
Prototyp,http://example.org/digitalhaushalt/keyword/prototyp,Q207977,http://www.wikidata.org/entity/Q207977,Prototyp,funktionsfähiges Versuchsmodell eines geplanten Produktes,exact,de
Repository,http://example.org/digitalhaushalt/keyword/repository,Q1235234,http://www.wikidata.org/entity/Q1235234,Dokumentenserver,digitale Bibliothek zur Veröffentlichung und Archivierung von elektronischen Publikationen in einem Repository,exact,de
GRACE-I,http://example.org/digitalhaushalt/keyword/grace-i,Q106368354,http://www.wikidata.org/entity/Q106368354,Grace Ioppolo,British academic,fuzzy,de
Observing System,http://example.org/digitalhaushalt/keyword/observing-system,Q7075490,http://www.wikidata.org/entity/Q7075490,Observing Systems,Album von Tied & Tickled Trio,fuzzy,de
IAGOS,http://example.org/digitalhaushalt/keyword/iagos,Q131428133,http://www.wikidata.org/entity/Q131428133,In-Service Aircraft for a Global Observing System,"organization in Brussels, Belgium",exact,de
Helmholtz-Zentrum für Informationssicherheit,http://example.org/digitalhaushalt/keyword/helmholtz-zentrum-fuer-informationssicherheit,Q55436361,http://www.wikidata.org/entity/Q55436361,CISPA - Helmholtz-Zentrum für Informationssicherheit,Forschungseinrichtung für Informationssicherheit,exact,de
Forschungszentrum Jülich,http://example.org/digitalhaushalt/keyword/forschungszentrum-juelich,Q697111,http://www.wikidata.org/entity/Q697111,Forschungszentrum Jülich,Großforschungseinrichtung in Nordrhein-Westfalen,exact,de
CISPA,http://example.org/digitalhaushalt/keyword/cispa,Q3678226,http://www.wikidata.org/entity/Q3678226,Cispa,Kartenspiel,exact,de
Daten- und Analyse-Infrastruktur,http://example.org/digitalhaushalt/keyword/daten-und-analyse-infrastruktur,,,,,none,
Technologieplattform,http://example.org/digitalhaushalt/keyword/technologieplattform,,,,,none,
Autonome Systeme,http://example.org/digitalhaushalt/keyword/autonome-systeme,Q128941718,http://www.wikidata.org/entity/Q128941718,Autonome Systeme in der Produktion,wissenschaftlicher Artikel,fuzzy,de
EHealth,http://example.org/digitalhaushalt/keyword/ehealth,Q4930,http://www.wikidata.org/entity/Q4930,E-Health,Anwendung elektronischer Geräte zur medizinischen Versorgung,exact,de
Data Science,http://example.org/digitalhaushalt/keyword/data-science,Q2374463,http://www.wikidata.org/entity/Q2374463,Data Science,interdisziplinäres Wissenschaftsfeld zur Gewinnung von Wissen oder Erkenntnissen aus Daten,exact,de
Computational Life Sciences,http://example.org/digitalhaushalt/keyword/computational-life-sciences,Q106245171,http://www.wikidata.org/entity/Q106245171,"Computational Life Sciences, First International Symposium, CompLife 2005, Konstanz, Germany, September 25-27, 2005",academic conference,fuzzy,de
KIMethod,http://example.org/digitalhaushalt/keyword/kimethod,,,,,none,
KI-Anwendungen,http://example.org/digitalhaushalt/keyword/ki-anwendungen,Q4781507,http://www.wikidata.org/entity/Q4781507,Anwendungen von künstlicher Intelligenz,Anwendungen maschineller Intelligenz,exact,de
Datenanalyse,http://example.org/digitalhaushalt/keyword/datenanalyse,Q1988917,http://www.wikidata.org/entity/Q1988917,Datenanalyse,activity for gaining insight from data,exact,de
